Claim,Status,Source / evidence,Action required
2025/26 Uganda Cup R64 draw: Kumi United FC vs CATDA FC,CONFIRMED (draw only),panafricafootball.com full R64 draw,RESULT NOT SOURCED - shown as TBC placeholder
2019/20 Uganda Cup run: knocked out Paidha Black Angels,UNVERIFIED,No source found in match reporting,Left off site; ask club for records
'Regular Round of 32/64 qualifiers',UNVERIFIED,Only 3 national-round ties are documented,Site lists exactly those 3
Sharif 'Diao' Ssengendo: CATDA -> KCCA FC (UPL),CONFIRMED,Scored for CATDA Jan 2022 (Kawowo); listed in KCCA UPL squad (Transfermarkt),None
Feeder/academy model exporting players to UPL and Big League,CONFIRMED in principle,Ssengendo case; briefs agree,Quantify with club if possible
Squad is mostly teenagers / early-20s from Kampala neighbourhoods,PLAUSIBLE - unverified,Club briefs only,Confirm with 2026/27 squad list
FUFA Clubs Pro-Agenda governance engagement with Ntinda United and Kireka United,CONFIRMED (club record),Club Facebook post,None
Full club name = 'City Abattoir Traders Development Association',CONFIRMED BY FUFA,FUFA 2nd Division Club Ownership register 2025/26 prints 'City Abattiour Traders Development Association' (spelling variant) as a 35% subscriber,Resolved; site cites FUFA as authoritative
Year founded,UNCONFIRMED,No source states one,GET FROM CLUB
Kit colours (blue/white or yellow/blue),UNCONFIRMED,No published source; brand palette now sampled from the official crest instead,"Site claims crest colours only, never kit colours"
Club crest,CONFIRMED BY FUFA,Crest reproduced in the FUFA ownership register certificate image; redrawn as vector in assets/crest.svg,Resolved
"Soltilo Bright Stars vs CATDA, MD16, 21 Feb 2026",CONTRADICTORY SOURCES,Kawowo: Soltilo won 1-0 via Ashiraf Sozzi own goal. Another outlet: 'CATDA 1-0 Soltilo Bright Stars',Site carries the own-goal version + note; verify
Email catdaclub@gmail.com / catdafootballclub@gmail.com,CONFIRMED,Club Facebook and X profiles,None
Phone +256 758 727 647,CONFIRMED (third-party listing),findglocal business listing (2020 vintage),Re-confirm with club
Domain catdafc.com,CONFIRMED as listed,Club X and Facebook profiles,Was NOT resolving publicly at build time - point it at this site
"X @FcCatda ~1,095 followers, joined Jun 2025; @CatdaClub dormant legacy",CONFIRMED,X profile data,None
"Facebook ~3,650 likes",CONFIRMED (approx.),Facebook page,None
2025/26 results: MD19 Blacks Power 2-1 CATDA; MD20 CATDA 1-0 Young Elephants; MD22 Kataka 2-0 CATDA; MD23 CATDA 2-1 Ntugasaze; MD24 Kaaro Karungi 1-0 CATDA; MD30 Kigezi Home Boyz 0-1 CATDA,CONFIRMED,Kawowo Sports matchday reports (Mar-Jun 2026),None
MD1 vs Kigezi Home Boyz and MD29 vs Onduparaka scorelines,NOT SOURCED,"Fixture lists exist (FUFA, Daily Monitor); results not captured",Shown as TBC
Fan chants,REMOVED FROM SITE,Placeholder chants deleted to avoid fabricated content; fans page now collects real songs from supporters,Resolved by removal
Matchday attendance figures,NOT AVAILABLE,No published data,Needed for the sponsorship pack
FUFA Club Licensing: CATDA FC granted Big League licence 2025/26,CONFIRMED,FUFA decision of 23 Aug 2025 names CATDA FC among 14 licensed clubs,None
FUFA ownership register 2025/26 lists CATDA FC (Article 13),CONFIRMED,"fufa.co.ug, published 11 May 2026; certificate image archived in assets/img/source/",None
Ownership structure: association 35% plus six natural persons 65%,CONFIRMED,Same register,None; published as transparency
"Bugolobi Coffee Grounds failed first stadium inspection Aug 2025, passed second",CONFIRMED,Same FUFA decision; second inspection 24-30 Aug 2025,Presented as licensing system working
"2026/27 licensing cycle dates (FIB 17-18 Aug, licences 24 Aug 2026)",CONFIRMED,"FUFA club licensing core process, released 22 Jun 2026",Add club's 2026/27 certificate when received
CATDA FC holds a 2026/27 FUFA club licence,NOT YET EVIDENCED,Licences issued 24 Aug 2026 per FUFA timetable; individual certificate not yet published to the club,Site states the cycle and links FUFA; does not claim the certificate
StarTimes holds naming and broadcast rights of UPL and FUFA Big League since 2018,CONFIRMED,"FUFA announcement, 9 Aug 2018",None
Stanbic Bank titles the Uganda Cup,CONFIRMED,FUFA competition branding (Stanbic Uganda Cup),None
"FUFA partner band: MTN Uganda, Stanbic Bank, Nile Special, BUL, betPawa, Nivana, Janzi",CONFIRMED AS FEDERATION PARTNERS,Partner band displayed on fufa.co.ug,"Clearly labelled as federation, not club, partners"
CATDA FC commercial partners,NONE PUBLICLY ANNOUNCED,No source found,Site states the inventory is open; no invented partners
Made-with-AI attribution present in site files,ABSENT,Grep across all files found none; staging callouts replaced by resolved facts and honest empty states,None
Higgsfield MCP availability,UNAVAILABLE IN SESSION,No such tool connected; built-in image generator used instead and disclosed,All imagery labelled AI-generated on the site
Official club badge artwork (CATDA FOOTBALL CLUB / KICK WITH SKILLS / LUFULA),CONFIRMED BY CLUB,"Owner-supplied JPEG, 10 Sep 2026","Processed to transparent 900px PNG at assets/img/logo.png; header, footer, favicon, JSON-LD and social cards all use it; crest.svg deleted"
Public AI-provenance captions and footer note,REMOVED ON OWNER INSTRUCTION,"Owner instruction, 10 Sep 2026","Hero caption, figure captions, footer note and data.json images.note deleted; terms carry a neutral composite-imagery clause; provenance retained in ANALYSIS.md and this log only"
FUFA certificate caption on compliance page,KEPT AS SOURCE CITATION,"FUFA ownership register, Article 13","Attribution of a public document, not an imagery tag"
2026/27 FUFA Big League kickoff date,CONFIRMED,"FUFA announcement, 15 Sep 2026",Site corrected from 20 Sep (licensing timetable) to Sunday 27 Sep 2026; first round runs to 20 Dec 2026
2026/27 first-round fixtures,CONFIRMED,"FUFA fixtures PDF, 15 Sep 2026, archived at watcher/src/","12 CATDA rows parsed clean with pypdf; the MD7 block of the published PDF is corrupted in the away column, flagged for club confirmation and deliberately not guessed"
2026/27 league size,INFERRED 14 CLUBS,13 first-round match days in the official fixture PDF,leagueSize updated from 16 to 14; to be re-checked against the FUFA club list when published
2026/27 home ground,CONFIRMED,All CATDA home rows in the fixture PDF,"Hamz Stadium-Nakivubo; grounds section updated, Bugolobi Coffee Grounds retained as the 2025/26 home"
FUFA announcement watcher,OPERATIONAL,"tools/fufa_watch.py, 6h poll of the FUFA WordPress REST API",Drafts proposals only; nothing publishes without a human setting approved true and running apply; QA harness now lives at tools/qa.js so it survives sessions
Proposal 20260915-fixtures applied,APPLIED WITH OWNER APPROVAL,"Owner approval in session, 15 Sep 2026","12 first-round fixtures installed (2025/26 list archived), next fixture confirmed v Rwenzori Lions FC 27 Sep, fixtures news item published; MD7 opponent left open pending club confirmation"
